属性标识符,时间(ms),时间,属性值,原始JSON
CO2Value,1780275583186,2026-06-01 08:59:43,400,"{""time"": 1780275583186, ""value"": ""400""}"
CO2Value,1780275588055,2026-06-01 08:59:48,1375,"{""time"": 1780275588055, ""value"": ""1375""}"
CO2Value,1780275593045,2026-06-01 08:59:53,1444,"{""time"": 1780275593045, ""value"": ""1444""}"
CO2Value,1780275598039,2026-06-01 08:59:58,1530,"{""time"": 1780275598039, ""value"": ""1530""}"
CO2Value,1780275603039,2026-06-01 09:00:03,1606,"{""time"": 1780275603039, ""value"": ""1606""}"
CO2Value,1780275608064,2026-06-01 09:00:08,1611,"{""time"": 1780275608064, ""value"": ""1611""}"
CO2Value,1780275613100,2026-06-01 09:00:13,1612,"{""time"": 1780275613100, ""value"": ""1612""}"
CO2Value,1780275618061,2026-06-01 09:00:18,1615,"{""time"": 1780275618061, ""value"": ""1615""}"
CO2Value,1780275623046,2026-06-01 09:00:23,1610,"{""time"": 1780275623046, ""value"": ""1610""}"
CO2Value,1780275628070,2026-06-01 09:00:28,1608,"{""time"": 1780275628070, ""value"": ""1608""}"
CO2Value,1780275633054,2026-06-01 09:00:33,1609,"{""time"": 1780275633054, ""value"": ""1609""}"
CO2Value,1780275638050,2026-06-01 09:00:38,1608,"{""time"": 1780275638050, ""value"": ""1608""}"
CO2Value,1780275643058,2026-06-01 09:00:43,1605,"{""time"": 1780275643058, ""value"": ""1605""}"
CO2Value,1780275648058,2026-06-01 09:00:48,1603,"{""time"": 1780275648058, ""value"": ""1603""}"
CO2Value,1780275653040,2026-06-01 09:00:53,1603,"{""time"": 1780275653040, ""value"": ""1603""}"
CO2Value,1780275658039,2026-06-01 09:00:58,1599,"{""time"": 1780275658039, ""value"": ""1599""}"
CO2Value,1780275663040,2026-06-01 09:01:03,1599,"{""time"": 1780275663040, ""value"": ""1599""}"
CO2Value,1780275668244,2026-06-01 09:01:08,1604,"{""time"": 1780275668244, ""value"": ""1604""}"
CO2Value,1780275673123,2026-06-01 09:01:13,1602,"{""time"": 1780275673123, ""value"": ""1602""}"
CO2Value,1780275678081,2026-06-01 09:01:18,1607,"{""time"": 1780275678081, ""value"": ""1607""}"
CO2Value,1780275683072,2026-06-01 09:01:23,1609,"{""time"": 1780275683072, ""value"": ""1609""}"
CO2Value,1780275688046,2026-06-01 09:01:28,1608,"{""time"": 1780275688046, ""value"": ""1608""}"
CO2Value,1780275693050,2026-06-01 09:01:33,1607,"{""time"": 1780275693050, ""value"": ""1607""}"
CO2Value,1780275698048,2026-06-01 09:01:38,1601,"{""time"": 1780275698048, ""value"": ""1601""}"
CO2Value,1780275703032,2026-06-01 09:01:43,1589,"{""time"": 1780275703032, ""value"": ""1589""}"
CO2Value,1780275708047,2026-06-01 09:01:48,1479,"{""time"": 1780275708047, ""value"": ""1479""}"
CO2Value,1780275713049,2026-06-01 09:01:53,1331,"{""time"": 1780275713049, ""value"": ""1331""}"
CO2Value,1780275718049,2026-06-01 09:01:58,1302,"{""time"": 1780275718049, ""value"": ""1302""}"
CO2Value,1780275723047,2026-06-01 09:02:03,1249,"{""time"": 1780275723047, ""value"": ""1249""}"
CO2Value,1780275728050,2026-06-01 09:02:08,1231,"{""time"": 1780275728050, ""value"": ""1231""}"
CO2Value,1780275733050,2026-06-01 09:02:13,1175,"{""time"": 1780275733050, ""value"": ""1175""}"
CO2Value,1780275738038,2026-06-01 09:02:18,1171,"{""time"": 1780275738038, ""value"": ""1171""}"
CO2Value,1780275743042,2026-06-01 09:02:23,1132,"{""time"": 1780275743042, ""value"": ""1132""}"
CO2Value,1780275748042,2026-06-01 09:02:28,1109,"{""time"": 1780275748042, ""value"": ""1109""}"
CO2Value,1780275753066,2026-06-01 09:02:33,936,"{""time"": 1780275753066, ""value"": ""936""}"
CO2Value,1780275758038,2026-06-01 09:02:38,931,"{""time"": 1780275758038, ""value"": ""931""}"
CO2Value,1780275763038,2026-06-01 09:02:43,931,"{""time"": 1780275763038, ""value"": ""931""}"
CO2Value,1780275768041,2026-06-01 09:02:48,926,"{""time"": 1780275768041, ""value"": ""926""}"
CO2Value,1780275773040,2026-06-01 09:02:53,914,"{""time"": 1780275773040, ""value"": ""914""}"
CO2Value,1780275778048,2026-06-01 09:02:58,858,"{""time"": 1780275778048, ""value"": ""858""}"
CO2Value,1780275783073,2026-06-01 09:03:03,756,"{""time"": 1780275783073, ""value"": ""756""}"
CO2Value,1780275788055,2026-06-01 09:03:08,755,"{""time"": 1780275788055, ""value"": ""755""}"
CO2Value,1780275793062,2026-06-01 09:03:13,750,"{""time"": 1780275793062, ""value"": ""750""}"
CO2Value,1780275798043,2026-06-01 09:03:18,724,"{""time"": 1780275798043, ""value"": ""724""}"
CO2Value,1780275803115,2026-06-01 09:03:23,721,"{""time"": 1780275803115, ""value"": ""721""}"
CO2Value,1780275808053,2026-06-01 09:03:28,717,"{""time"": 1780275808053, ""value"": ""717""}"
CO2Value,1780275813048,2026-06-01 09:03:33,715,"{""time"": 1780275813048, ""value"": ""715""}"
CO2Value,1780275818043,2026-06-01 09:03:38,711,"{""time"": 1780275818043, ""value"": ""711""}"
CO2Value,1780275823039,2026-06-01 09:03:43,690,"{""time"": 1780275823039, ""value"": ""690""}"
CO2Value,1780275828037,2026-06-01 09:03:48,684,"{""time"": 1780275828037, ""value"": ""684""}"
CO2Value,1780275833039,2026-06-01 09:03:53,680,"{""time"": 1780275833039, ""value"": ""680""}"
CO2Value,1780275838048,2026-06-01 09:03:58,664,"{""time"": 1780275838048, ""value"": ""664""}"
CO2Value,1780275843039,2026-06-01 09:04:03,662,"{""time"": 1780275843039, ""value"": ""662""}"
CO2Value,1780275848048,2026-06-01 09:04:08,658,"{""time"": 1780275848048, ""value"": ""658""}"
CO2Value,1780275853039,2026-06-01 09:04:13,649,"{""time"": 1780275853039, ""value"": ""649""}"
CO2Value,1780275858052,2026-06-01 09:04:18,646,"{""time"": 1780275858052, ""value"": ""646""}"
CO2Value,1780275863055,2026-06-01 09:04:23,637,"{""time"": 1780275863055, ""value"": ""637""}"
CO2Value,1780275868054,2026-06-01 09:04:28,630,"{""time"": 1780275868054, ""value"": ""630""}"
CO2Value,1780275873038,2026-06-01 09:04:33,628,"{""time"": 1780275873038, ""value"": ""628""}"
CO2Value,1780275878063,2026-06-01 09:04:38,626,"{""time"": 1780275878063, ""value"": ""626""}"
CO2Value,1780275883054,2026-06-01 09:04:43,623,"{""time"": 1780275883054, ""value"": ""623""}"
CO2Value,1780275888037,2026-06-01 09:04:48,438,"{""time"": 1780275888037, ""value"": ""438""}"
CO2Value,1780275893052,2026-06-01 09:04:53,436,"{""time"": 1780275893052, ""value"": ""436""}"
CO2Value,1780275898042,2026-06-01 09:04:58,440,"{""time"": 1780275898042, ""value"": ""440""}"
CO2Value,1780275903054,2026-06-01 09:05:03,442,"{""time"": 1780275903054, ""value"": ""442""}"
CO2Value,1780275908048,2026-06-01 09:05:08,443,"{""time"": 1780275908048, ""value"": ""443""}"
